,coordinates,date,location,place,tweet,tweet_ID,username
0,,2020-01-01 23:46:00,,,"MacBookに感謝です。

最近、息子は、抱っこしていないと泣きます。

抱っこは、パパの仕事なので、抱っこしながら学習しています。

MacBookなら、どんな体勢でも学習可能。

時間を有効に使えます😌

#駆け出しエンジニアと繋がりたい 
#駆け出しエンジニア",1.2125203774710006e+18,_dansandesu
1,,2020-01-01 23:59:00,"Brussels, Belgium",,@AppleSupport My MacBook Pro 2018 13’ display is showing pink stripes!!!!!! Vous avez pas honte de me faire ça le premier jour de 2020???,1.212523650601177e+18,sensemyg_
2,,2020-01-01 23:56:11,San Francisco-ish,,Stephen Hackett: MacBook Air is the Mac of the decade ↦ https://t.co/t4bdL7Q1Zk,1.21252294349602e+18,bleedsixcolors
3,,2020-01-01 23:32:37,new jersey,,ok but why does windows boot faster than macOS on a MacBook wh,1.2125170099945267e+18,bensatechguy
4,,2020-01-01 23:51:52,東京,,"Appleの初売り、16インチのMacBook Proが出てたら買おうかなと思ったけど、それはスルーで13インチとAirが対象。いま15インチ使いで軽くしたいから13インチのサイズでいいけど、あのキーボードが嫌なんですよね。これは売り切るためのしれっと13インチアプデのフラグ？なんて

https://t.co/U7euByGNN0",1.2125218551956316e+18,moribe997
5,,2020-01-01 23:45:23,,,"Appleの初売り！

割引クーポンもらえるのは今日だけですよ！

https://t.co/U8W8FY4uGJ

＃アップル
#アップルストア 
#福袋2020 
＃初売り
#学割　
＃apple
#MacPro 
#アイフォン 
#iPad 
#macbookair 
#MacBook",1.2125202243998843e+18,ly37162830
6,,2020-01-01 23:32:53,JYP's Attic,,"Heechul is a PC user while Momo is a Macbook user, this is against the law.",1.212517079112282e+18,GoyangiMeow
7,,2020-01-01 23:44:22,United Kingdom,,"@dylan522p If this is the case, this increasingly makes me think Navi 12 will be for an Apple product, like a Macbook Pro or iMac.",1.2125199668320215e+18,ghost_motley
8,,2020-01-01 23:54:48,ブリリア タワー 西新,,"@ho4da4 macbookの場合

2指でタップ&gt;&gt;選択項目の順位再チェック

で再チェックできますよ👍",1.2125225928478188e+18,maru_uuui
9,,2020-01-01 23:58:08,尼崎市,"Place(_api=<tweepy.api.API object at 0x7fee33f0b1d0>, id='0e8b7448272f832f', url='https://api.twitter.com/1.1/geo/id/0e8b7448272f832f.json', place_type='city', name='Hirakata-shi', full_name='Hirakata-shi, Osaka', country_code='JP', country='Japan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fee33f0b1d0>, type='Polygon', coordinates=[[[135.614041, 34.773146], [135.746799, 34.773146], [135.746799, 34.881362], [135.614041, 34.881362]]]), attributes={})","蟹すきで残った蟹で「蟹ときゅうりの酢の物」は胃に優しい&amp;「年末近くに買ったMacBook Pro」
https://t.co/upxoOSk30G
#ライブドアインスタブロガー",1.212523431368872e+18,kamekichi_papa
