tweet_ID,username,lemmatize,polarity
1.212492692996993e+18,arcano17,apple macbook pro 16inch 2019 review perfect apple laptop httpstcomkvcv665ni,1.0
1.212492692996993e+18,arcano17,apple macbook pro 16inch 2019 review perfect apple laptop httpstcomkvcv665ni,1.0
1.2124018910716805e+18,elcolmadonyc,10 best designer macbook air bag httpstco2tbisayyow,1.0
1.2124848760852193e+18,JakTwoo,apple macbook pro 16inch 2019 review perfect apple laptop httpstcoij475j19s2,1.0
1.2124185558510182e+18,upandup525,best premium creator laptop 2019 macbook pro 16 v razer blade studio v aero 17 hdr httpstcoadawtjlejy,1.0
1.2124217799747707e+18,DevsInsider,apple introduces 16inch macbook pro world best pro notebook press release apple httpstcou163w2brit,1.0
1.2124848760852193e+18,JakTwoo,apple macbook pro 16inch 2019 review perfect apple laptop httpstcoij475j19s2,1.0
1.21250605114214e+18,Shahol11,best macbook buy 2020 lukemiani hughjeffreys,1.0
1.2124020271559352e+18,elcolmadonyc,10 best designer macbook pro 13 sleeve httpstcolpyhop2ctq,1.0
1.2124748239910052e+18,CompileSwift,tapbot_paul use elgato hf60s capturing nintendo switch macbook pro hdmi feed impressed httpstcousuznybakv example capture httpstcou9ulsjerh5,1.0
